// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。
<7285> ずっと、道を切り開くために生み出してきた、俺の命の剣。

// <7286> 瑚太朗
<7286> 瑚太朗

// <7287> 「超えてやるよ、咲夜」
<7287> 「超えてやるよ、咲夜」

// <7288> 咲夜
<7288> 咲夜

// <7289> 「ええ」
<7289> 「ええ」

// <7290> 咲夜
<7290> 咲夜

// <7291> 「そうきてもらわねば、面白くありません」
<7291> 「そうきてもらわねば、面白くありません」

// <7292> 花弁の剣。
<7292> 花弁の剣。

// <7293> ずっと、何かを守り続けてきた、咲夜の命の剣。
<7293> ずっと、何かを守り続けてきた、咲夜の命の剣。

// <7294> 数歩。
<7294> 数歩。

// <7295> 距離をおいて対峙する。
<7295> 距離をおいて対峙する。

// <7296> 天王寺瑚太朗、鳳咲夜。
<7296> 天王寺瑚太朗、鳳咲夜。

// <7297> 桜の花弁舞い散る中。
<7297> 桜の花弁舞い散る中。

// <7298> 二人の剣が、交差する。
<7298> 二人の剣が、交差する。

// <7299> ―――どうだよ。もう負けねえぞ。
<7299> ―――どうだよ。もう負けねえぞ。

// <7300> ―――やるようになりましたね。私の指導のおかげですが。
<7300> ―――やるようになりましたね。私の指導のおかげですが。

// <7301> ―――その辺は、感謝してる。
<7301> ―――その辺は、感謝してる。

// <7302> ―――ですが、あなたはそれ以上だった。
<7302> ―――ですが、あなたはそれ以上だった。

// <7303> ―――ああ。
<7303> ―――ああ。

// <7304> ―――ええ。
<7304> ―――ええ。

// <7305> ちはや
<7305> ちはや

// <7306> 「………」
<7306> 「………」

// <7307> ちはや
<7307> ちはや

// <7308> 「もう…」
<7308> 「もう…」

// <7309> ちはや
<7309> ちはや

// <7310> 「二人とも、馬鹿です…」
<7310> 「二人とも、馬鹿です…」

// <7311> 瑚太朗
<7311> 瑚太朗

// <7312> 「…もらった！！」
<7312> 「…もらった！！」

// <7313> 咲夜
<7313> 咲夜

// <7314> 「…！！」
<7314> 「…！！」

// <7315> 咲夜の剣を弾く。
<7315> 咲夜の剣を弾く。

// <7316> …力勝ちだ。
<7316> …力勝ちだ。

// <7317> そして俺はその剣を振るい…。
<7317> そして俺はその剣を振るい…。

// <7318> 瑚太朗
<7318> 瑚太朗

// <7319> 「………」
<7319> 「………」

// <7320> 剣を消滅させた。
<7320> 剣を消滅させた。

// <7321> 咲夜
<7321> 咲夜

// <7322> 「な…」
<7322> 「な…」

// <7323> 瑚太朗
<7323> 瑚太朗

// <7324> 「…ぅおらぁっ！」
<7324> 「…ぅおらぁっ！」

// <7325> ただの拳を、咲夜の右頬に叩きこんだ。
<7325> ただの拳を、咲夜の右頬に叩きこんだ。

// <7326> 咲夜
<7326> 咲夜

// <7327> 「く…」
<7327> 「く…」

// <7328> 瑚太朗
<7328> 瑚太朗

// <7329> 「へへ…こりゃ俺の勝ちだな」
<7329> 「へへ…こりゃ俺の勝ちだな」

// <7330> 咲夜
<7330> 咲夜

// <7331> 「なぜ剣を…？」
<7331> 「なぜ剣を…？」

// <7332> 瑚太朗
<7332> 瑚太朗

// <7333> 「…俺たちのケンカがさ」
<7333> 「…俺たちのケンカがさ」

// <7334> 瑚太朗
<7334> 瑚太朗

// <7335> 「殺し合いみたいになっちゃいけねえよな」
<7335> 「殺し合いみたいになっちゃいけねえよな」

// <7336> 咲夜
<7336> 咲夜

// <7337> 「………」
<7337> 「………」

// <7338> 瑚太朗
<7338> 瑚太朗

// <7339> 「だから、これで俺の勝…
<7339> 「だから、これで俺の勝…

// <7340> ぐふっ！！」
<7340> ぐふっ！！」

// <7341> 咲夜の拳が、俺のどてっぱらにめり込んだ。
<7341> 咲夜の拳が、俺のどてっぱらにめり込んだ。

// <7342> 咲夜
<7342> 咲夜

// <7343> 「そういうことでしたら遠慮なく行きますが」
<7343> 「そういうことでしたら遠慮なく行きますが」

// <7344> 瑚太朗
<7344> 瑚太朗

// <7345> 「上等だ！　遠慮なんかしてもらっちゃ超えたことになりゃしねえ！」
<7345> 「上等だ！　遠慮なんかしてもらっちゃ超えたことになりゃしねえ！」

// <7346> 咲夜
<7346> 咲夜

// <7347> 「ふっ…」
<7347> 「ふっ…」

// <7348> 瑚太朗
<7348> 瑚太朗

// <7349> 「へっ」
<7349> 「へっ」

// <7350> 瑚太朗
<7350> 瑚太朗

// <7351> 「行くぜ咲夜…！！」
<7351> 「行くぜ咲夜…！！」

// <7352> ―――コタロー！
<7352> ―――コタロー！

// <7353> 瑚太朗
<7353> 瑚太朗

// <7354> 「ん、静流か」
<7354> 「ん、静流か」

// <7355> 静流
<7355> 静流

// <7356> 「…また寝てた」
<7356> 「…また寝てた」

// <7357> 静流
<7357> 静流

// <7358> 「罰則１」
<7358> 「罰則１」

// <7359> 瑚太朗
<7359> 瑚太朗

// <7360> 「まだ寒いし、ぬくぬくしてりゃ、眠くなるのもしょうがないっすよ」
<7360> 「まだ寒いし、ぬくぬくしてりゃ、眠くなるのもしょうがないっすよ」

// <7361> 部室の陽だまりはとても暖かだった。
<7361> 部室の陽だまりはとても暖かだった。

// <7362> 吉野
<7362> 吉野

// <7363> 「ちッ…オレまで目が覚めやがった」
<7363> 「ちッ…オレまで目が覚めやがった」

// <7364> ソファで寝ていた吉野が身体を起こす。
<7364> ソファで寝ていた吉野が身体を起こす。

// <7365> こいつ、なんだかんだでいつもここにいる。
<7365> こいつ、なんだかんだでいつもここにいる。

// <7366> 静流
<7366> 静流

// <7367> 「どこかいくのか？」
<7367> 「どこかいくのか？」

// <7368> 吉野
<7368> 吉野

// <7369> 「オレは邪魔者だろ。隠し事に興味はねえ。聞く気にもならねえ」
<7369> 「オレは邪魔者だろ。隠し事に興味はねえ。聞く気にもならねえ」

// <7370> 吉野
<7370> 吉野

// <7371> 「…テメエらだけで何とかしな。オレはここで見ていてやる」
<7371> 「…テメエらだけで何とかしな。オレはここで見ていてやる」

// <7372> 吉野は部室を出て行った。
<7372> 吉野は部室を出て行った。

// <7373> 瑚太朗
<7373> 瑚太朗

// <7374> （…本当は話してやりたいんだけどな）
<7374> （…本当は話してやりたいんだけどな）

// <7375> 静流の報告というのは、ガーディアンの事。
<7375> 静流の報告というのは、ガーディアンの事。

// <7376> 吉野はあくまでこの世界に関わりのない、一般人だ。
<7376> 吉野はあくまでこの世界に関わりのない、一般人だ。

// <7377> …巻き込むわけにはいかない。
<7377> …巻き込むわけにはいかない。

// <7378> もし。
<7378> もし。

// <7379> もし、この先…ガイアだのガーディアンだの、そんなのが必要ない世界が来るなら、そのときは俺の武勇伝を笑って話してやろうと思う。
<7379> もし、この先…ガイアだのガーディアンだの、そんなのが必要ない世界が来るなら、そのときは俺の武勇伝を笑って話してやろうと思う。

// <7380> ちはや
<7380> ちはや

// <7381> 「で、静流がなにか用です？」
<7381> 「で、静流がなにか用です？」

// <7382> 静流
<7382> 静流

// <7383> 「………」
<7383> 「………」

// <7384> 瑚太朗
<7384> 瑚太朗

// <7385> 「あ、そうか」
<7385> 「あ、そうか」

// <7386> ちはや
<7386> ちはや

// <7387> 「今日は部活でしたねえ」
<7387> 「今日は部活でしたねえ」

// <7388> 静流
<7388> 静流

// <7389> 「…二人とも、のんき過ぎる」
<7389> 「…二人とも、のんき過ぎる」

// <7390> 瑚太朗
<7390> 瑚太朗

// <7391> 「オオトリウィルスに感染してるからな」
<7391> 「オオトリウィルスに感染してるからな」

// <7392> ちはや
<7392> ちはや

// <7393> 「だからなんなんですそれ」
<7393> 「だからなんなんですそれ」

// <7394> 静流
<7394> 静流

// <7395> 「私も気をつけねば…」
<7395> 「私も気をつけねば…」

// <7396> 静流
<7396> 静流

// <7397> 「現状の報告をします」
<7397> 「現状の報告をします」

// <7398> 瑚太朗
<7398> 瑚太朗

// <7399> 「はい」
<7399> 「はい」

// <7400> ちはや
<7400> ちはや

// <7401> 「朱音さんのことからでお願いします」
<7401> 「朱音さんのことからでお願いします」

// <7402> 静流
<7402> 静流

// <7403> 「…カイチョーは、順調」
<7403> 「…カイチョーは、順調」

// <7404> 瑚太朗
<7404> 瑚太朗

// <7405> 「お、そうか」
<7405> 「お、そうか」

// <7406> ちはや
<7406> ちはや

// <7407> 「新学期に間に合いそうです？」
<7407> 「新学期に間に合いそうです？」

// <7408> 静流
<7408> 静流

// <7409> 「うむ」
<7409> 「うむ」

// <7410> 瑚太朗
<7410> 瑚太朗

// <7411> 「そうか、そりゃあ良かった」
<7411> 「そうか、そりゃあ良かった」

// <7412> ちはや
<7412> ちはや

// <7413> 「でもそうなると、今度は同学年ですねえ」
<7413> 「でもそうなると、今度は同学年ですねえ」

// <7414> 瑚太朗
<7414> 瑚太朗

// <7415> 「さんざ偉そうな真似して来やがったからな…もう権力もない、一同級生だって思い知らせてやる」
<7415> 「さんざ偉そうな真似して来やがったからな…もう権力もない、一同級生だって思い知らせてやる」

// <7416> ちはや
<7416> ちはや

// <7417> 「今までどおりになっちゃう気もしてますけどねえ」
<7417> 「今までどおりになっちゃう気もしてますけどねえ」

// <7418> 静流
<7418> 静流

// <7419> 「ことりはどうだ」
<7419> 「ことりはどうだ」

// <7420> 瑚太朗
<7420> 瑚太朗

// <7421> 「また手紙は来てたけど」
<7421> 「また手紙は来てたけど」

// <7422> 静流
<7422> 静流

// <7423> 「むう」
<7423> 「むう」

// <7424> ちはや
<7424> ちはや

// <7425> 「間違いなく、小鳥の字だと思うんですけどねえ…」
<7425> 「間違いなく、小鳥の字だと思うんですけどねえ…」

// <7426> 瑚太朗
<7426> 瑚太朗

// <7427> 「どこへ行ってるのやら…」
<7427> 「どこへ行ってるのやら…」

// <7428> ちはや
<7428> ちはや

// <7429> 「元気でやってるみたいなんですけどね」
<7429> 「元気でやってるみたいなんですけどね」

// <7430> 瑚太朗
<7430> 瑚太朗

// <7431> 「で、ルチアと西九条先生は？」
<7431> 「で、ルチアと西九条先生は？」

// <7432> 静流
<7432> 静流

// <7433> 「ルチアはまだ動けない」
<7433> 「ルチアはまだ動けない」

// <7434> 静流
<7434> 静流

// <7435> 「そのために、みんな色々走り回ってる」
<7435> 「そのために、みんな色々走り回ってる」

// <7436> 瑚太朗
<7436> 瑚太朗

// <7437> 「そうか…どっちかっていうと、会長のほうが深刻だって思ってたんだけどなあ」
<7437> 「そうか…どっちかっていうと、会長のほうが深刻だって思ってたんだけどなあ」

// <7438> ちはや
<7438> ちはや

// <7439> 「まだガイアがなくなったわけじゃないですし、忙しいんじゃないです？」
<7439> 「まだガイアがなくなったわけじゃないですし、忙しいんじゃないです？」

// <7440> 静流
<7440> 静流

// <7441> 「…そうだ」
<7441> 「…そうだ」

// <7442> ちはや
<7442> ちはや

// <7443> 「元通りってわけには行かないですね」
<7443> 「元通りってわけには行かないですね」

// <7444> 瑚太朗
<7444> 瑚太朗

// <7445> 「なかなか難しいな、ネオオカ研再結成は」
<7445> 「なかなか難しいな、ネオオカ研再結成は」

// <7446> 語呂が悪い。
<7446> 語呂が悪い。

// <7447> ちはやがこの名を使うと噛んでしまうため、主に使用しているのは俺だけである。
<7447> ちはやがこの名を使うと噛んでしまうため、主に使用しているのは俺だけである。

// <7448> 静流
<7448> 静流

// <7449> 「でも、私が絶対何とかする」
<7449> 「でも、私が絶対何とかする」

// <7450> 瑚太朗
<7450> 瑚太朗

// <7451> 「ああ。頼むよ」
<7451> 「ああ。頼むよ」

// <7452> 静流
<7452> 静流

// <7453> 「何かあったら手伝ってほしいが」
<7453> 「何かあったら手伝ってほしいが」

// <7454> 瑚太朗
<7454> 瑚太朗

// <7455> 「俺の力は悪い魔物専門」
<7455> 「俺の力は悪い魔物専門」

// <7456> 静流
<7456> 静流

// <7457> 「むう」
<7457> 「むう」

// <7458> ちはや
<7458> ちはや

// <7459> 「それは多分、ガーディアンの仕事ですよ」
<7459> 「それは多分、ガーディアンの仕事ですよ」

// <7460> ちはや
<7460> ちはや

// <7461> 「私たちはもう、ただの風祭の一生徒ですからねえ」
<7461> 「私たちはもう、ただの風祭の一生徒ですからねえ」

// <7462> で、放課後になると。
<7462> で、放課後になると。

// <7463> たまにちはやは、森の奥に出かける。
<7463> たまにちはやは、森の奥に出かける。

// <7464> 瑚太朗
<7464> 瑚太朗

// <7465> 「おーい、ちはやー」
<7465> 「おーい、ちはやー」

// <7466> 場所はわかってる。
<7466> 場所はわかってる。

// <7467> ただ、前に気配を出さずに近寄ったら、物凄く怒られたから、こうしてるだけだ。
<7467> ただ、前に気配を出さずに近寄ったら、物凄く怒られたから、こうしてるだけだ。

// <7468> 瑚太朗
<7468> 瑚太朗

// <7469> 「…こんな森じゃ、生傷も絶えんよなぁ…」
<7469> 「…こんな森じゃ、生傷も絶えんよなぁ…」

// <7470> 今のちはやは本当にただの人だ。
<7470> 今のちはやは本当にただの人だ。

// <7471> で、どじっ子。
<7471> で、どじっ子。

// <7472> 前みたいに力でどうにかしたり、異常に頑丈だったりしない。
<7472> 前みたいに力でどうにかしたり、異常に頑丈だったりしない。

// <7473> 最近はそのことにも慣れてきて、慎重になってきたんだが…。
<7473> 最近はそのことにも慣れてきて、慎重になってきたんだが…。

// <7474> 瑚太朗
<7474> 瑚太朗

// <7475> 「…ハンカチ落ちてらあ」
<7475> 「…ハンカチ落ちてらあ」

// <7476> 拾ってってやろう。
<7476> 拾ってってやろう。

// <7477> 瑚太朗
<7477> 瑚太朗

// <7478> 「相変わらず、こういう抜けたところは治る気配がないな…」
<7478> 「相変わらず、こういう抜けたところは治る気配がないな…」

// <7479> ため息を吐いた。
<7479> ため息を吐いた。

// <7480> ちはや
<7480> ちはや

// <7481> 「………」
<7481> 「………」

// <7482> 瑚太朗
<7482> 瑚太朗

// <7483> 「おーい」
<7483> 「おーい」

// <7484> ちはや
<7484> ちはや

// <7485> 「あ…瑚太朗」
<7485> 「あ…瑚太朗」

// <7486> 瑚太朗
<7486> 瑚太朗

// <7487> 「お前、ここ好きだなあ…」
<7487> 「お前、ここ好きだなあ…」

// <7488> ちはや
<7488> ちはや

// <7489> 「いいじゃないですか」
<7489> 「いいじゃないですか」

// <7490> 瑚太朗
<7490> 瑚太朗

// <7491> 「うん、いいと思うけど」
<7491> 「うん、いいと思うけど」

// <7492> 森の中の、少し開けた場所。
<7492> 森の中の、少し開けた場所。

// <7493> ちはやはここに来ると…。
<7493> ちはやはここに来ると…。

// <7494> 瑚太朗
<7494> 瑚太朗

// <7495> 「で、出来たんか、召喚」
<7495> 「で、出来たんか、召喚」

// <7496> ちはや
<7496> ちはや

// <7497> 「………」
<7497> 「………」

// <7498> 魔物の喚起の法。
<7498> 魔物の喚起の法。

// <7499> 契約した魔物を、裏から呼び出す法だ。
<7499> 契約した魔物を、裏から呼び出す法だ。

// <7500> 目標はもちろん…。
<7500> 目標はもちろん…。

// <7501> 瑚太朗
<7501> 瑚太朗

// <7502> 「…成功すりゃいいな」
<7502> 「…成功すりゃいいな」

// <7503> ちはや
<7503> ちはや

// <7504> 「…そうですね」
<7504> 「…そうですね」

// <7505> ちはやだって分かってるんだ。
<7505> ちはやだって分かってるんだ。

// <7506> たぶんもう、それが成功することはない。
<7506> たぶんもう、それが成功することはない。

// <7507> でも、ちはやの中にはまだ契約が残っているらしい。
<7507> でも、ちはやの中にはまだ契約が残っているらしい。

// <7508> 魔物使いの事は、俺にはよくわからないが…それすらも感情的なもので、実際には…。
<7508> 魔物使いの事は、俺にはよくわからないが…それすらも感情的なもので、実際には…。

// <7509> 瑚太朗
<7509> 瑚太朗

// <7510> 「ほれ、ハンカチ落としてた」
<7510> 「ほれ、ハンカチ落としてた」

// <7511> ちはや
<7511> ちはや

// <7512> 「あ…」
<7512> 「あ…」

// <7513> けど、一縷の望みがあるなら、それに賭けることを俺は滑稽だとは思わない。
<7513> けど、一縷の望みがあるなら、それに賭けることを俺は滑稽だとは思わない。

// <7514> 俺だって、どこかで期待している。
<7514> 俺だって、どこかで期待している。

// <7515> …けれど、いつかそれを諦める時が来るんだろう。
<7515> …けれど、いつかそれを諦める時が来るんだろう。

// <7516> なら、いいじゃないか。その時まで。
<7516> なら、いいじゃないか。その時まで。

// <7517> 瑚太朗
<7517> 瑚太朗

// <7518> 「じゃ、飯の準備しとくから、あんまり遅くなんなよ」
<7518> 「じゃ、飯の準備しとくから、あんまり遅くなんなよ」

// <7519> ちはや
<7519> ちはや

// <7520> 「大丈夫です。今日はもうすぐ帰るつもりですから…」
<7520> 「大丈夫です。今日はもうすぐ帰るつもりですから…」

// <7521> ちはや
<7521> ちはや

// <7522> 「あ、今日のご飯はなんです？」
<7522> 「あ、今日のご飯はなんです？」

// <7523> 瑚太朗
<7523> 瑚太朗

// <7524> 「カレーでも作ろうかと」
<7524> 「カレーでも作ろうかと」

// <7525> ちはや
<7525> ちはや

// <7526> 「シーフードがいいです」
<7526> 「シーフードがいいです」

// <7527> 瑚太朗
<7527> 瑚太朗

// <7528> 「あいよ」
<7528> 「あいよ」

// <7529> …その時まで、望みを持ち続けていたって。
<7529> …その時まで、望みを持ち続けていたって。

// <7530> 不意に、強い風が通り抜ける。
<7530> 不意に、強い風が通り抜ける。

// <7531> 葉擦れの音が、周囲から空へ響き渡る。
<7531> 葉擦れの音が、周囲から空へ響き渡る。

// <7532> …南風だろうか。
<7532> …南風だろうか。

// <7533> 陽光に目を細める。
<7533> 陽光に目を細める。

// <7534> そして…。
<7534> そして…。

// <7535> 俺の目に、ひとひら。
<7535> 俺の目に、ひとひら。

// <7536> 白い、一枚の花弁が舞った。
<7536> 白い、一枚の花弁が舞った。

// <7537> 瑚太朗
<7537> 瑚太朗

// <7538> 「…遅かったじゃねえか」
<7538> 「…遅かったじゃねえか」

// <7539> ■友達■　ID:
<7539> ■友達■　ID:

// <7540> 　NO:
<7540> 　NO:

// <7541> dummy
<7541> dummy

// <7542> sys20_adv00
<7542> sys20_adv00

// <7543> bg080
<7543> bg080

// <7544> bgm037
<7544> bgm037

// <7545> sys20_adv00
<7545> sys20_adv00

// <7546> kuro
<7546> kuro

// <7547> sys20_adv00
<7547> sys20_adv00

// <7548> bg018
<7548> bg018

// <7549> sys10_mh00
<7549> sys10_mh00

// <7550> sys10_mh00
<7550> sys10_mh00

// <7551> sys10_mh00
<7551> sys10_mh00

// <7552> sys10_mh00
<7552> sys10_mh00

// <7553> sys10_mh00
<7553> sys10_mh00

// <7554> sys20_adv00
<7554> sys20_adv00

// <7555> kuro
<7555> kuro

// <7556> sys20_adv00
<7556> sys20_adv00

// <7557> bg015
<7557> bg015

// <7558> bgm019
<7558> bgm019

// <7559> sys10_mh00
<7559> sys10_mh00

// <7560> sys10_mh00
<7560> sys10_mh00

// <7561> sys10_mh00
<7561> sys10_mh00

// <7562> sys10_mh00
<7562> sys10_mh00

// <7563> sys10_mh00
<7563> sys10_mh00

// <7564> sys20_adv00
<7564> sys20_adv00

// <7565> kuro
<7565> kuro

// <7566> sys20_adv00
<7566> sys20_adv00

// <7567> bg012n
<7567> bg012n

// <7568> bgm033
<7568> bgm033

// <7569> sys10_mh00
<7569> sys10_mh00

// <7570> sys10_mh00
<7570> sys10_mh00

// <7571> sys10_mh00
<7571> sys10_mh00

// <7572> sys10_mh00
<7572> sys10_mh00

// <7573> sys10_mh00
<7573> sys10_mh00

// <7574> sys20_adv00
<7574> sys20_adv00

// <7575> cgm_gl10u
<7575> cgm_gl10u

// <7576> sys20_adv00
<7576> sys20_adv00

// <7577> cgm_pn17
<7577> cgm_pn17

// <7578> sys20_adv00
<7578> sys20_adv00

// <7579> sys20_adv00
<7579> sys20_adv00

// <7580> cgm_gl10
<7580> cgm_gl10

// <7581> sys20_adv00
<7581> sys20_adv00

// <7582> cgm_pn18
<7582> cgm_pn18

// <7583> sys20_adv00
<7583> sys20_adv00

// <7584> cgm_pn18
<7584> cgm_pn18

// <7585> cgm_gl14
<7585> cgm_gl14

// <7586> sys20_adv00
<7586> sys20_adv00

// <7587> cgm_pn17
<7587> cgm_pn17

// <7588> cgm_gl14
<7588> cgm_gl14

// <7589> sys20_adv00
<7589> sys20_adv00

// <7590> sys20_adv00
<7590> sys20_adv00

// <7591> kuro
<7591> kuro

// <7592> sys20_adv00
<7592> sys20_adv00

// <7593> bg023
<7593> bg023

// <7594> bgm001
<7594> bgm001

// <7595> sys20_adv00
<7595> sys20_adv00

// <7596> kuro
<7596> kuro

// <7597> sys20_adv00
<7597> sys20_adv00

// <7598> bg022
<7598> bg022

// <7599> sys20_adv00
<7599> sys20_adv00

// <7600> cgm_sk13a
<7600> cgm_sk13a

// <7601> sys20_adv00
<7601> sys20_adv00

// <7602> cgm_sk22at
<7602> cgm_sk22at

// <7603> sys20_adv00
<7603> sys20_adv00

// <7604> sys20_adv00
<7604> sys20_adv00

// <7605> cgm_ch10a
<7605> cgm_ch10a

// <7606> sys20_adv00
<7606> sys20_adv00

// <7607> sys20_adv00
<7607> sys20_adv00

// <7608> cgm_ch29a
<7608> cgm_ch29a

// <7609> sys20_adv00
<7609> sys20_adv00

// <7610> cgm_ch28a
<7610> cgm_ch28a

// <7611> sys20_adv00
<7611> sys20_adv00

// <7612> sys20_adv00
<7612> sys20_adv00

// <7613> cgm_ch18a
<7613> cgm_ch18a

// <7614> sys20_adv00
<7614> sys20_adv00

// <7615> cgm_ch29a
<7615> cgm_ch29a

// <7616> sys20_adv00
<7616> sys20_adv00

// <7617> cgm_ch10a
<7617> cgm_ch10a

// <7618> sys20_adv00
<7618> sys20_adv00

// <7619> cgm_sk13a
<7619> cgm_sk13a

// <7620> sys20_adv00
<7620> sys20_adv00

// <7621> sys20_adv00
<7621> sys20_adv00

// <7622> cgm_sk10a
<7622> cgm_sk10a

// <7623> sys20_adv00
<7623> sys20_adv00

// <7624> cgm_sk15a
<7624> cgm_sk15a

// <7625> sys20_adv00
<7625> sys20_adv00

// <7626> cgm_sk16a
<7626> cgm_sk16a

// <7627> sys20_adv00
<7627> sys20_adv00

// <7628> cgm_sk10a
<7628> cgm_sk10a

// <7629> sys20_adv00
<7629> sys20_adv00

// <7630> sys20_adv00
<7630> sys20_adv00

// <7631> cgm_sk13a
<7631> cgm_sk13a

// <7632> sys20_adv00
<7632> sys20_adv00

// <7633> cgm_sk22at
<7633> cgm_sk22at

// <7634> sys20_adv00
<7634> sys20_adv00

// <7635> cgm_sk14a
<7635> cgm_sk14a

// <7636> sys20_adv00
<7636> sys20_adv00

// <7637> cgm_sk13a
<7637> cgm_sk13a

// <7638> cgm_ch29a
<7638> cgm_ch29a

// <7639> sys20_adv00
<7639> sys20_adv00

// <7640> cgm_sk13a
<7640> cgm_sk13a

// <7641> cgm_ch11a
<7641> cgm_ch11a

// <7642> sys20_adv00
<7642> sys20_adv00

// <7643> cgm_sk16a
<7643> cgm_sk16a

// <7644> cgm_ch11a
<7644> cgm_ch11a

// <7645> sys20_adv00
<7645> sys20_adv00

// <7646> sys20_adv00
<7646> sys20_adv00

// <7647> cgm_sk22at
<7647> cgm_sk22at

// <7648> sys20_adv00
<7648> sys20_adv00

// <7649> cgm_sk25at
<7649> cgm_sk25at

// <7650> sys20_adv00
<7650> sys20_adv00

// <7651> sys20_adv00
<7651> sys20_adv00

// <7652> cgm_ch13a
<7652> cgm_ch13a

// <7653> sys20_adv00
<7653> sys20_adv00

// <7654> cgm_ch22a
<7654> cgm_ch22a

// <7655> sys20_adv00
<7655> sys20_adv00

// <7656> kuro
<7656> kuro

// <7657> sys20_adv00
<7657> sys20_adv00

// <7658> bg013
<7658> bg013

// <7659> bgm006
<7659> bgm006

// <7660> sys20_adv00
<7660> sys20_adv00

// <7661> cgm_sk15a
<7661> cgm_sk15a

// <7662> sys20_adv00
<7662> sys20_adv00

// <7663> cgm_sk15a
<7663> cgm_sk15a

// <7664> cgm_ch13a
<7664> cgm_ch13a

// <7665> sys20_adv00
<7665> sys20_adv00

// <7666> cgm_sk11a
<7666> cgm_sk11a

// <7667> cgm_ch13a
<7667> cgm_ch13a

// <7668> sys20_adv00
<7668> sys20_adv00

// <7669> sys20_adv00
<7669> sys20_adv00

// <7670> cgm_ch12a
<7670> cgm_ch12a

// <7671> sys20_adv00
<7671> sys20_adv00

// <7672> cgm_sk11a
<7672> cgm_sk11a

// <7673> cgm_ch29a
<7673> cgm_ch29a

// <7674> sys20_adv00
<7674> sys20_adv00

// <7675> cgm_sk11a
<7675> cgm_sk11a

// <7676> cgm_ch13a
<7676> cgm_ch13a

// <7677> sys20_adv00
<7677> sys20_adv00

// <7678> cgm_sk13a
<7678> cgm_sk13a

// <7679> cgm_ch13a
<7679> cgm_ch13a

// <7680> sys20_adv00
<7680> sys20_adv00

// <7681> kuro
<7681> kuro

// <7682> sys20_adv00
<7682> sys20_adv00

// <7683> bg013
<7683> bg013

// <7684> sys20_adv00
<7684> sys20_adv00

// <7685> cgm_ch29a
<7685> cgm_ch29a

// <7686> sys20_adv00
<7686> sys20_adv00

// <7687> cgm_sk11a
<7687> cgm_sk11a

// <7688> cgm_ch29a
<7688> cgm_ch29a

// <7689> sys20_adv00
<7689> sys20_adv00

// <7690> cgm_sk15a
<7690> cgm_sk15a

// <7691> cgm_ch10a
<7691> cgm_ch10a

// <7692> sys20_adv00
<7692> sys20_adv00

// <7693> cgm_ch12a
<7693> cgm_ch12a

// <7694> sys20_adv00
<7694> sys20_adv00

// <7695> cgm_sk15a
<7695> cgm_sk15a

// <7696> sys20_adv00
<7696> sys20_adv00

// <7697> cgm_sk31a
<7697> cgm_sk31a

// <7698> sys20_adv00
<7698> sys20_adv00

// <7699> cgm_sk25ah
<7699> cgm_sk25ah

// <7700> sys20_adv00
<7700> sys20_adv00

// <7701> cgm_sk31a
<7701> cgm_sk31a

// <7702> sys00_sys00
<7702> sys00_sys00

// <7703> kaminari2
<7703> kaminari2

// <7704> sys20_adv00
<7704> sys20_adv00

// <7705> cgm_ch13a
<7705> cgm_ch13a

// <7706> sys20_adv00
<7706> sys20_adv00

// <7707> cgm_ch10a
<7707> cgm_ch10a

// <7708> sys20_adv00
<7708> sys20_adv00

// <7709> cgm_ch11a
<7709> cgm_ch11a

// <7710> sys20_adv00
<7710> sys20_adv00

// <7711> cgm_sk16a
<7711> cgm_sk16a

// <7712> sys20_adv00
<7712> sys20_adv00

// <7713> cgm_ch12a
<7713> cgm_ch12a

// <7714> sys20_adv00
<7714> sys20_adv00

// <7715> cgm_sk20a
<7715> cgm_sk20a

// <7716> cgm_ch12a
<7716> cgm_ch12a

// <7717> sys20_adv00
<7717> sys20_adv00

// <7718> cgm_sk20a
<7718> cgm_sk20a

// <7719> cgm_ch13a
<7719> cgm_ch13a

// <7720> sys20_adv00
<7720> sys20_adv00

// <7721> cgm_sk24a
<7721> cgm_sk24a

// <7722> cgm_ch13a
<7722> cgm_ch13a

// <7723> sys20_adv00
<7723> sys20_adv00

// <7724> sys20_adv00
<7724> sys20_adv00

// <7725> kuro
<7725> kuro

// <7726> sys20_adv00
<7726> sys20_adv00

// <7727> bg013
<7727> bg013

// <7728> sys20_adv00
<7728> sys20_adv00

